v8-version,6,2,414,54,0
code-creation,Builtin,5,4605,0xe240ac54440,64,"FunctionPrototypeApply"
code-creation,Builtin,5,4606,0xe240ac544e0,1240,"CallWithArrayLike"
code-creation,Builtin,5,4607,0xe240ac54a20,81,"CallVarargs"
code-creation,Builtin,5,4608,0xe240ac54ae0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,4609,0xe240ac54ea0,15,"FunctionPrototypeBind"
code-creation,Builtin,5,4609,0xe240ac54f20,47,"FunctionPrototypeCall"
code-creation,Builtin,5,4610,0xe240ac54fc0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,4611,0xe240ac55040,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,4612,0xe240ac551a0,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,4613,0xe240ac55240,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,4613,0xe240ac556c0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,4614,0xe240ac55b40,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,4615,0xe240ac55c40,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,4616,0xe240ac55d60,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,4617,0xe240ac55e80,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,4618,0xe240ac55fa0,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,4618,0xe240ac560c0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,4619,0xe240ac561c0,20,"ArrayConstructor"
code-creation,Builtin,5,4620,0xe240ac56240,99,"ArrayIsArray"
